id,title,artist,mood_label,language,lyrics
genius-2332455,Hello,Adele,sad,en,"Hello, it's me
I was wondering if after all these years, you'd like to meet
To go over everything
They say that time's supposed to heal ya
But I ain't done much healin'
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet

There's such a difference between us
And a million miles

Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town
Where nothing ever happened?

It's no secret that the both of us
Are running out of time

So hello from the other side (Other side)
I must've called a thousand times (Thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (Outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

(Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows) Anymore

Hello from the other side (Other side)
I must've called a thousand times (Thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (Outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore"
genius-61289,Rolling in the Deep,Adele,sad,en,"There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark
Finally, I can see you crystal clear
Go ahead and sell me out and I'll lay your shit bare
See how I'll leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark

The scars of your love remind me of us
They keep me thinkin' that we almost had it all
The scars of your love, they leave me breathless
I can't help feeling

We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)

Baby, I have no story to be told
But I've heard one on you, now I'm gonna make your head burn
Think of me in the depths of your despair
Make a home down there, as mine sure won't be shared

(You're gonna wish you never had met me) The scars of your love remind me of us
(Tears are gonna fall, rolling in the deep) They keep me thinkin' that we almost had it all
(You're gonna wish you never had met me) The scars of your love, they leave me breathless
(Tears are gonna fall, rolling in the deep) I can't help feeling

We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)
Could've had it all
Rolling in the deep
You had my heart inside of your hand
But you played it with a beating

Throw your soul through every open door (Ooh woah, oh)
Count your blessings to find what you look for (Woah)
Turn my sorrow into treasured gold (Ooh woah, oh)
You'll pay me back in kind and reap just what you've sown

(You're gonna wish you never had met me)
We could've had it all (Tears are gonna fall, rolling in the deep)
We could've had it all, yeah (You're gonna wish you never had met me)
It all, it all, it all (Tears are gonna fall, rolling in the deep)

We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)
Could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
But you played it, you played it, you played it
You played it to the beat"
genius-7260084,Easy On Me,Adele,sad,en,"There ain't no gold in this river
That I've been washin' my hands in forever
I know there is hope in these waters
But I can't bring myself to swim
When I am drowning in this silence
Baby, let me in

Go easy on me, baby
I was still a child
Didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me

There ain't no room for things to change
When we are both so deeply stuck in our ways
You can't deny how hard I've tried
I changed who I was to put you both first
But now I give up

Go easy on mе, baby
I was still a child
Didn't get the chance to
Feel thе world around me
Had no time to choose what I chose to do
So go easy on me

I had good intentions
And the highest hopes
But I know right now
It probably doesn't even show

Go easy on me, baby
I was still a child
I didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me"
genius-62493,Set Fire to the Rain,Adele,sad,en,"I let it fall, my heart
And as it fell, you rose to claim it
It was dark, and I was over
Until you kissed my lips and you saved me
My hands, they were strong
But my knees were far too weak
To stand in your arms
Without falling to your feet

But there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you'd play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screamin' out your name
Your name

When I lay with you
I could stay there, close my eyes
Feel you here forever
You and me together, nothing is better

'Cause there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you'd play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screamin' out your name
Your name
I set fire to the rain
And I threw us into the flames
When we fell, somethin' died
'Cause I knew that that was the last time
The last time

Sometimes, I wake up by the door
That heart you caught must be waitin' for you
Even now, when we're already over
I can't help myself from lookin' for you

I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screamin' out your name
Your name
I set fire to the rain
And I threw us into the flames
When we fell, somethin' died
'Cause I knew that that was the last time
The last time

Oh
Oh, no
Let it burn
Oh
Let it burn
Let it burn"
genius-51294,Someone Like You,Adele,sad,en,"I heard that you're settled down
That you found a girl and you're married now
I heard that your dreams came true
Guess she gave you things I didn't give to you
Old friend, why are you so shy?
Ain't like you to hold back or hide from the light

I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over

Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Sometimes it lasts in love, but sometimes it hurts instead

You know how the time flies
Only yesterday was the time of our lives
We were born and raised in a summer haze
Bound by the surprise of our glory days

I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over

Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead

Nothing compares, no worries or cares
Regrets and mistakes, they're memories made
Who would have known how bittersweet this would taste?

Never mind, I'll find someone like you
I wish nothing but the best for you
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Sometimes it lasts in love, but sometimes it hurts instead"
genius-2336628,When We Were Young,Adele,sad,en,"Everybody loves the things you do
From the way you talk to the way you move
Everybody here is watching you
'Cause you feel like home, you're like a dream come true
But, if by chance, you're here alone
Can I have a moment before I go?
'Cause I've been by myself all night long
Hoping you're someone I used to know

You look like a movie, you sound like a song
My God, this reminds me of when we were young

Let me photograph you in this light in case it is the last time
That we might be exactly like we were before we realised
We were sad of getting old, it made us restless
It was just like a movie, it was just like a song

I was so scared to face my fears
Nobody told me that you'd be here
And I swear you'd moved overseas
That's what you said when you left me

You still look like a movie, you still sound like a song
My God, this reminds me of when we were young

Let me photograph you in this light in case it is the last time
That we might be exactly like we were before we realised
We were sad of getting old, it made us restless
It was just like a movie, it was just like a song

(When we were young)
(When we were young)
(When we were young)
(When we were young)

It's hard to admit that (When we were young)
Everything just takes me back (When we were young)
To when you were there (When we were young)
To when you were there
And a part of me keeps holding on (When we were young)
Just in case it hasn't gone (When we were young)
I guess I still care (When we were young)
Do you still care?

It was just like a movie, it was just like a song
My God, this reminds me of when we were young
(When we were young)
(When we were young)
(When we were young)
(When we were young)

Let me photograph you in this light in case it is the last time
(When we were young, when we were young)
That we might be exactly like we were before we realised
(When we were young, when we were young)
We were sad of getting old, it made us restless
(When we were young, when we were young)
Oh, I'm so mad I'm getting old, it makes me reckless
(When we were young, when we were young)
It was just like a movie, it was just like a song
When we were young"
genius-2336647,All I Ask,Adele,sad,en,"I will leave my heart at the door
I won't say a word
They've all been said before, you know
So why don't we just play pretend
Like we're not scared of what is coming next
Or scared of having nothing left?

Look, don't get me wrong
I know there is no tomorrow

All I ask is if this is my last night with you
Hold me like I'm more than just a friend
Give me a memory I can use
Take me by the hand while we do
What lovers do
It matters how this ends
'Cause what if I never love again?

I don't need your honesty
It's already in your eyes
And I'm sure my eyes, they speak for me
No one knows me like you do
And since you're the only one that mattered
Tell me, who do I run to?

Look, don't get me wrong
I know there is no tomorrow

All I ask is if this is my last night with you
Hold me like I'm more than just a friend
Give me a memory I can use
Take me by the hand while we do
What lovers do
It matters how this ends
'Cause what if I never love again?

Let this be our lesson in love
Let this be the way we remember us
I don't wanna be cruel or vicious
And I ain't askin' for forgiveness

All I ask is if this is my last night with you
Hold me like I'm more than just a friend
Give me a memory I can use
Take me by the hand while we do
What lovers do
It matters how this ends
'Cause what if I never love again?"
genius-90986,Skyfall,Adele,sad,en,"This is the end
Hold your breath and count to ten
Feel the Earth move, and then
Hear my heart burst again
For this is the end
I've drowned and dreamt this moment
So overdue, I owe them
Swept away, I'm stolen

Let the sky fall
When it crumbles
We will stand tall
Face it all together
Let the sky fall
When it crumbles
We will stand tall
Face it all together at Skyfall
At Skyfall

Skyfall is where we start
A thousand miles and poles apart
Where worlds collide and days are dark
You may have my number, you can take my name
But you'll never have my heart

Let the sky fall (
Let the sky fall
)
When it crumbles (
When it crumbles
)
We will stand tall (
We will stand tall
)
Face it all together
Let the sky fall (Let the sky fall)
When it crumbles (When it crumbles)
We will stand tall (We will stand tall)
Face it all together at Skyfall

Let the sky fall
When it crumbles
We will stand tall
Let the sky fall
When it crumbles
We will stand tall

Where you go, I go
What you see, I see
I know I'd never be me without the security
Of your loving arms keeping me from harm
Put your hand in my hand and we'll stand

Let the sky fall (
Let the sky fall
)
When it crumbles (
When it crumbles
)
We will stand tall (
We will stand tall
)
Face it all together
Let the sky fall (Let the sky fall)
When it crumbles (When it crumbles)
We will stand tall (We will stand tall)
Face it all together at Skyfall

Let the sky fall
We will stand tall
At Skyfall
Ooh"
genius-109096,Creep,Radiohead,sad,en,"When you were here before
Couldn't look you in the eye
You're just like an angel
Your skin makes me cry
You float like a feather
In a beautiful world
I wish I was special
You're so fuckin' special

But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here

I don't care if it hurts
I wanna have control
I want a perfect body
I want a perfect soul
I want you to notice
When I'm not around
You're so fuckin' special
I wish I was special

But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here
Oh-oh, oh-oh

She's runnin' out the door
She's runnin' out
She run, run, run, run
Run

Whatever makes you happy
Whatever you want
You're so fuckin' special
I wish I was special

But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here
I don't belong here"
genius-64344,Karma Police,Radiohead,sad,en,"Karma police, arrest this man
He talks in maths, he buzzes like a fridge
He's like a detuned radio

Karma police, arrest this girl
Her Hitler hairdo is making me feel ill
And we have crashed her party

This is what you get
This is what you get
This is what you get
When you mess with us

Karma police, I've given all I can
It's not enough, I've given all I can
But we're still on the payroll

This is what you get
This is what you get
This is what you get
When you mess with us

For a minute there
I lost myself, I lost myself
Phew, for a minute there
I lost myself, I lost myself
Oh, for a minute there
I lost myself, I lost myself
Phew, for a minute there
I lost myself, I lost myself"
